Fon Adı;Fon Fiyatı;Ort. Maliyet;Getiri;Pay;Tutar
"STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON ( AN1 / AN1 )";66,408526 TL;64,972127 TL;%2,21;1.547;102.733,99 TL
"BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON ( BVZ / BVZ )";2,765915 TL;2,406347 TL;%14,94;20.168;55.782,97 TL
"İŞ PORTFÖY MODEL SERBEST FON ( FBV / FBV )";4,640732 TL;4,252837 TL;%9,12;11.991;55.647,02 TL
"GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON ( GZN / GZN )";28,582109 TL;24,046755 TL;%18,86;1.863;53.248,47 TL
"HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ ( HEH / HEH )";2,163014 TL;2,100814 TL;%2,96;44.601;96.472,59 TL
"HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE ( HGM / HGM )";2,285366 TL;2,142816 TL;%6,65;9.333;21.329,32 TL
"İSTANBUL PORTFÖY AGRESİF DEĞİŞKEN FON ( IAE / IAE )";1,227699 TL;1,029134 TL;%19,29;25.000;30.692,48 TL
"PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE ( IAU / IAU )";1,761962 TL;1,554088 TL;%13,38;274;482,78 TL
"İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (T ( IDH / IDH )";8,872886 TL;8,833374 TL;%0,45;5.432;48.197,52 TL
"İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON ( IIE / IIE )";7,308515 TL;8,220424 TL;-%11,09;2.554;18.665,95 TL
"İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE S ( IIH / IIH )";22,895416 TL;22,913555 TL;-%0,08;1.330;30.450,90 TL
"İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON ( IPB / IPB )";0,675281 TL;0,489795 TL;%37,87;8.199;5.536,63 TL
"NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE ( NHY / NHY )";3,550077 TL;3,765261 TL;-%5,71;14.067;49.938,93 TL
"HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSS ( NNF / NNF )";17,302401 TL;14,329789 TL;%20,74;3.053;52.824,23 TL
"NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON ( NRC / NRC )";7,593168 TL;9,535125 TL;-%20,37;468;3.553,60 TL
"RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON ( RIK / RIK )";3,552539 TL;3,480785 TL;%2,06;45.965;163.292,46 TL
"RE-PIE PORTFÖY BİRİNCİ DEĞİŞKEN FON ( RPD / RPD )";9,256964 TL;2,669290 TL;%246,79;1.216;11.256,47 TL
"RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (H ( RTH / RTH )";4,407575 TL;2,843213 TL;%55,02;3.320;14.633,15 TL
"RE-PIE PORTFÖY BİRİNCİ SERBEST FON ( RTP / RTP )";9,322970 TL;7,505306 TL;%24,22;17.715;165.156,41 TL
"STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE S ( ST1 / ST1 )";138,483465 TL;147,406871 TL;-%6,05;35;4.846,92 TL
"İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YO ( TI2 / TI2 )";0,092763 TL;0,094502 TL;-%1,84;150.000;13.914,45 TL
"ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON ( ZCD / ZCD )";3,241281 TL;3,024863 TL;%7,15;9.800;31.764,55 TL
"ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON ( ZJB / ZJB )";12,909975 TL;13,611278 TL;-%5,15;734;9.475,92 TL
"ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON ( ZJI / ZJI )";13,198083 TL;13,785293 TL;-%4,26;781;10.307,70 TL
"Kısa Vadeli Borçlanma Araçları (TL) Fonu ( YFBL2 / YHT )";0,258406 TL;0,255689 TL;%1,06;172.784;44.648,42 TL
"Para Piyasası (TL) Fonu ( YFBL7 / YVD )";2,732945 TL;2,660748 TL;%2,71;7.662;20.939,82 TL
