Fon Adı;Fon Fiyatı;Ort. Maliyet;Getiri;Pay;Tutar
"STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON ( AN1 / AN1 )";65,102656 TL;64,972127 TL;%0,20;1.547;100.713,81 TL
"BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON ( BVZ / BVZ )";2,699212 TL;2,406347 TL;%12,17;20.168;54.437,71 TL
"İŞ PORTFÖY MODEL SERBEST FON ( FBV / FBV )";4,468974 TL;4,252837 TL;%5,08;11.991;53.587,47 TL
"GLOBAL MD PORTFÖY BOĞAZİÇİ SERBEST FON ( GZN / GZN )";27,327239 TL;24,046755 TL;%13,64;1.863;50.910,65 TL
"HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ ( HEH / HEH )";2,119112 TL;2,033621 TL;%4,20;11.163;23.655,65 TL
"HEDEF PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE ( HGM / HGM )";2,194168 TL;2,142816 TL;%2,40;9.333;20.478,17 TL
"İSTANBUL PORTFÖY AGRESİF DEĞİŞKEN FON ( IAE / IAE )";1,223498 TL;1,029134 TL;%18,89;25.000;30.587,45 TL
"PARDUS PORTFÖY İKİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE ( IAU / IAU )";1,729559 TL;1,554088 TL;%11,29;274;473,90 TL
"İŞ PORTFÖY BIST 100 DIŞI ŞİRKETLER HİSSE SENEDİ (T ( IDH / IDH )";8,749921 TL;8,833374 TL;-%0,94;5.432;47.529,57 TL
"İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON ( IIE / IIE )";7,370595 TL;8,220424 TL;-%10,34;2.554;18.824,50 TL
"İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE S ( IIH / IIH )";22,915647 TL;22,913555 TL;%0,01;1.330;30.477,81 TL
"İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON ( IPB / IPB )";0,653420 TL;0,489795 TL;%33,41;8.199;5.357,39 TL
"NEO PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE ( NHY / NHY )";3,579462 TL;3,765261 TL;-%4,93;14.067;50.352,29 TL
"HEDEF PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSS ( NNF / NNF )";17,002694 TL;14,329789 TL;%18,65;3.053;51.909,22 TL
"NEO PORTFÖY BİRİNCİ DEĞİŞKEN FON ( NRC / NRC )";7,693234 TL;9,535125 TL;-%19,32;468;3.600,43 TL
"RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON ( RIK / RIK )";3,480802 TL;3,480785 TL;%0,00;45.965;159.995,06 TL
"RE-PIE PORTFÖY BİRİNCİ DEĞİŞKEN FON ( RPD / RPD )";9,206600 TL;2,669290 TL;%244,91;1.216;11.195,23 TL
"RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (H ( RTH / RTH )";4,596887 TL;2,843213 TL;%61,68;3.320;15.261,66 TL
"RE-PIE PORTFÖY BİRİNCİ SERBEST FON ( RTP / RTP )";8,984593 TL;7,505306 TL;%19,71;17.715;159.162,06 TL
"STRATEJİ PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE S ( ST1 / ST1 )";142,264435 TL;147,406871 TL;-%3,49;35;4.979,26 TL
"İŞ PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YO ( TI2 / TI2 )";0,091727 TL;0,094502 TL;-%2,94;150.000;13.759,05 TL
"ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON ( ZCD / ZCD )";3,177841 TL;3,024863 TL;%5,06;9.800;31.142,84 TL
"ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON ( ZJI / ZJI )";13,070429 TL;12,587527 TL;%3,84;61;797,30 TL
"Para Piyasası Fonu ( YFBL1 / YLB )";1,092885 TL;1,092885 TL;%0,00;46.665;50.999,48 TL
"Para Piyasası (TL) Fonu ( YFBL7 / YVD )";2,664578 TL;2,660748 TL;%0,14;18.819;50.144,69 TL
